Sport,Discipline,Athlete,Rider,Injury,Venue,Track,Date
motocross,supercross/motocross,Jo Shimoda,Jo Shimoda,Back,San Diego,San Diego,2026-01-15
motocross,supercross/motocross,Hunter Yoder,Hunter Yoder,Knee,San Diego,San Diego,2026-01-15
motocross,supercross/motocross,Justin Barcia,Justin Barcia,Collarbone,Anaheim 1,Anaheim 1,2026-01-09
motocross,supercross/motocross,Benny Bloss,Benny Bloss,Wrist,Anaheim 1,Anaheim 1,2026-01-09
motocross,supercross/motocross,Jett Lawrence,Jett Lawrence,"Ankle, Foot",Anaheim 1,Anaheim 1,2026-01-09
motocross,supercross/motocross,Jordon Smith,Jordon Smith,Shoulder,Anaheim 1,Anaheim 1,2026-01-09
motocross,supercross/motocross,Julien Beaumer,Julien Beaumer,Back,Anaheim 1,Anaheim 1,2026-01-09
motocross,supercross/motocross,Lux Turner,Lux Turner,Wrists,Anaheim 1,Anaheim 1,2026-01-09
motocross,supercross/motocross,Jo Shimoda,Jo Shimoda,Back,Anaheim 1,Anaheim 1,2026-01-09
motocross,supercross/motocross,Jason Anderson,Jason Anderson,Health Issues,SMX Playoffs,SMX Playoffs,2025-09-18
motocross,supercross/motocross,Colt Nichols,Colt Nichols,Thumb,SMX Playoffs,SMX Playoffs,2025-09-18
motocross,supercross/motocross,Aaron Plessinger,Aaron Plessinger,Illness,SMX Playoffs,SMX Playoffs,2025-09-18
motocross,supercross/motocross,Malcolm Stewart,Malcolm Stewart,"Back, Leg",SMX Playoffs,SMX Playoffs,2025-09-18
motocross,supercross/motocross,Dean Wilson,Dean Wilson,Knee,SMX Playoffs,SMX Playoffs,2025-09-18
motocross,supercross/motocross,Julien Beaumer,Julien Beaumer,Back,SMX Playoffs,SMX Playoffs,2025-09-18
motocross,supercross/motocross,Austin Forkner,Austin Forkner,Knee,SMX Playoffs,SMX Playoffs,2025-09-18
motocross,supercross/motocross,Mikkel Haarup,Mikkel Haarup,Collarbone,SMX Playoffs,SMX Playoffs,2025-09-18
motocross,supercross/motocross,Chance Hymas,Chance Hymas,ACL,SMX Playoffs,SMX Playoffs,2025-09-18
motocross,supercross/motocross,Michael Mosiman,Michael Mosiman,"Ankle, Head",SMX Playoffs,SMX Playoffs,2025-09-18
motocross,supercross/motocross,Jalek Swoll,Jalek Swoll,Leg,SMX Playoffs,SMX Playoffs,2025-09-18
motocross,supercross/motocross,Max Vohland,Max Vohland,Elbow,SMX Playoffs,SMX Playoffs,2025-09-18
motocross,supercross/motocross,Jason Anderson,Jason Anderson,Health Issues,SMX Playoffs,SMX Playoffs,2025-09-11
motocross,supercross/motocross,Colt Nichols,Colt Nichols,Thumb,SMX Playoffs,SMX Playoffs,2025-09-11
motocross,supercross/motocross,Aaron Plessinger,Aaron Plessinger,Illness,SMX Playoffs,SMX Playoffs,2025-09-11
motocross,supercross/motocross,Malcolm Stewart,Malcolm Stewart,"Back, Leg",SMX Playoffs,SMX Playoffs,2025-09-11
motocross,supercross/motocross,Julien Beaumer,Julien Beaumer,Back,SMX Playoffs,SMX Playoffs,2025-09-11
motocross,supercross/motocross,Mikkel Haarup,Mikkel Haarup,Collarbone,SMX Playoffs,SMX Playoffs,2025-09-11
motocross,supercross/motocross,Chance Hymas,Chance Hymas,ACL,SMX Playoffs,SMX Playoffs,2025-09-11
motocross,supercross/motocross,Garrett Marchbanks,Garrett Marchbanks,Knee,SMX Playoffs,SMX Playoffs,2025-09-11
motocross,supercross/motocross,Michael Mosiman,Michael Mosiman,"Ankle, Head",SMX Playoffs,SMX Playoffs,2025-09-11
motocross,supercross/motocross,Jalek Swoll,Jalek Swoll,Leg,SMX Playoffs,SMX Playoffs,2025-09-11
motocross,supercross/motocross,Jason Anderson,Jason Anderson,Health Issues,SMX Playoffs,SMX Playoffs,2025-09-04
motocross,supercross/motocross,Grant Harlan,Grant Harlan,Leg,SMX Playoffs,SMX Playoffs,2025-09-04
motocross,supercross/motocross,Colt Nichols,Colt Nichols,Thumb,SMX Playoffs,SMX Playoffs,2025-09-04
motocross,supercross/motocross,Aaron Plessinger,Aaron Plessinger,Illness,SMX Playoffs,SMX Playoffs,2025-09-04
motocross,supercross/motocross,Joey Savatgy,Joey Savatgy,Leg,SMX Playoffs,SMX Playoffs,2025-09-04
motocross,supercross/motocross,Chase Sexton,Chase Sexton,Shoulder,SMX Playoffs,SMX Playoffs,2025-09-04
motocross,supercross/motocross,Cooper Webb,Cooper Webb,Knee,SMX Playoffs,SMX Playoffs,2025-09-04
motocross,supercross/motocross,Max Anstie,Max Anstie,Leg,SMX Playoffs,SMX Playoffs,2025-09-04
motocross,supercross/motocross,Julien Beaumer,Julien Beaumer,Banged Up,SMX Playoffs,SMX Playoffs,2025-09-04
motocross,supercross/motocross,Pierce Brown,Pierce Brown,Back,SMX Playoffs,SMX Playoffs,2025-09-04
motocross,supercross/motocross,Mikkel Haarup,Mikkel Haarup,Collarbone,SMX Playoffs,SMX Playoffs,2025-09-04
motocross,supercross/motocross,Chance Hymas,Chance Hymas,ACL,SMX Playoffs,SMX Playoffs,2025-09-04
motocross,supercross/motocross,Michael Mosiman,Michael Mosiman,"Ankle, Head",SMX Playoffs,SMX Playoffs,2025-09-04
motocross,supercross/motocross,Jalek Swoll,Jalek Swoll,Leg,SMX Playoffs,SMX Playoffs,2025-09-04
motocross,supercross/motocross,Jason Anderson,Jason Anderson,Health Issues,Budds Creek,Budds Creek,2025-08-21
motocross,supercross/motocross,Grant Harlan,Grant Harlan,Leg,Budds Creek,Budds Creek,2025-08-21
motocross,supercross/motocross,Derek Kelley,Derek Kelley,Leg,Budds Creek,Budds Creek,2025-08-21
motocross,supercross/motocross,Freddie Noren,Freddie Noren,Foot,Budds Creek,Budds Creek,2025-08-21
motocross,supercross/motocross,Colt Nichols,Colt Nichols,Thumb,Budds Creek,Budds Creek,2025-08-21
motocross,supercross/motocross,Aaron Plessinger,Aaron Plessinger,Illness,Budds Creek,Budds Creek,2025-08-21
motocross,supercross/motocross,Joey Savatgy,Joey Savatgy,Leg,Budds Creek,Budds Creek,2025-08-21
motocross,supercross/motocross,Chase Sexton,Chase Sexton,Shoulder,Budds Creek,Budds Creek,2025-08-21
motocross,supercross/motocross,Cooper Webb,Cooper Webb,Knee,Budds Creek,Budds Creek,2025-08-21
motocross,supercross/motocross,Max Anstie,Max Anstie,Leg,Budds Creek,Budds Creek,2025-08-21
motocross,supercross/motocross,Pierce Brown,Pierce Brown,Back,Budds Creek,Budds Creek,2025-08-21
motocross,supercross/motocross,Jack Chambers,Jack Chambers,Leg,Budds Creek,Budds Creek,2025-08-21
motocross,supercross/motocross,Casey Cochran,Casey Cochran,Shoulder,Budds Creek,Budds Creek,2025-08-21
motocross,supercross/motocross,Trevor Colip,Trevor Colip,"Femur, Stroke",Budds Creek,Budds Creek,2025-08-21
motocross,supercross/motocross,Evan Ferry,Evan Ferry,Achilles,Budds Creek,Budds Creek,2025-08-21
motocross,supercross/motocross,Mikkel Haarup,Mikkel Haarup,Collarbone,Budds Creek,Budds Creek,2025-08-21
motocross,supercross/motocross,Chance Hymas,Chance Hymas,ACL,Budds Creek,Budds Creek,2025-08-21
motocross,supercross/motocross,Cameron McAdoo,Cameron McAdoo,Knee,Budds Creek,Budds Creek,2025-08-21
motocross,supercross/motocross,Kayden Minear,Kayden Minear,Thumb,Budds Creek,Budds Creek,2025-08-21
motocross,supercross/motocross,Michael Mosiman,Michael Mosiman,"Ankle, Head",Budds Creek,Budds Creek,2025-08-21
motocross,supercross/motocross,Carson Mumford,Carson Mumford,Ankle,Budds Creek,Budds Creek,2025-08-21
motocross,supercross/motocross,Jett Reynolds,Jett Reynolds,Leg,Budds Creek,Budds Creek,2025-08-21
motocross,supercross/motocross,Stilez Robertson,Stilez Robertson,Wrist,Budds Creek,Budds Creek,2025-08-21
motocross,supercross/motocross,Nick Romano,Nick Romano,Shoulder,Budds Creek,Budds Creek,2025-08-21
motocross,supercross/motocross,Dilan Schwartz,Dilan Schwartz,Ankle,Budds Creek,Budds Creek,2025-08-21
motocross,supercross/motocross,Jalek Swoll,Jalek Swoll,Leg,Budds Creek,Budds Creek,2025-08-21
motocross,supercross/motocross,Gavin Towers,Gavin Towers,Knee,Budds Creek,Budds Creek,2025-08-21
